dt      ,x        ,y        ,position ,velocity,acceleration,jerk       ,heading
0.020000,5.747928 ,11.249998,0.000057 ,0.005714,0.285714    ,14.285714  ,0.001658
0.020000,5.747962 ,11.249998,0.000092 ,0.001719,-0.199770   ,-24.274211 ,0.001630
0.020000,5.748040 ,11.249998,0.000169 ,0.003867,0.107425    ,15.359764  ,0.001568
0.020000,5.748177 ,11.249999,0.000306 ,0.006875,0.150381    ,2.147794   ,0.001458
0.020000,5.748392 ,11.249999,0.000521 ,0.010741,0.193315    ,2.146699   ,0.001286
0.020000,5.748701 ,11.249999,0.000831 ,0.015466,0.236213    ,2.144902   ,0.001039
0.020000,5.749122 ,11.250000,0.001251 ,0.021047,0.279058    ,2.142222   ,0.000702
0.020000,5.749663 ,11.250000,0.001793 ,0.027054,0.300359    ,1.065046   ,0.000269
0.020000,5.752484 ,11.250000,0.004613 ,0.141034,5.698996    ,269.931857 ,6.282926
0.020000,5.758466 ,11.249996,0.010595 ,0.299083,7.902472    ,110.173795 ,6.282301
0.020000,5.765366 ,11.249988,0.017495 ,0.345017,2.296684    ,-280.289370,6.281580
0.020000,5.773188 ,11.249972,0.025317 ,0.391099,2.304084    ,0.370012   ,6.280763
0.020000,5.781928 ,11.249947,0.034057 ,0.437000,2.295050    ,-0.451710  ,6.279850
0.020000,5.791589 ,11.249910,0.043719 ,0.483079,2.303964    ,0.445698   ,6.278842
0.020000,5.802169 ,11.249858,0.054299 ,0.529006,2.296374    ,-0.379495  ,6.277737
0.020000,5.813668 ,11.249788,0.065798 ,0.574948,2.297088    ,0.035692   ,6.276538
0.020000,5.826087 ,11.249698,0.078218 ,0.620984,2.301805    ,0.235830   ,6.275242
0.020000,5.839425 ,11.249582,0.091556 ,0.666922,2.296878    ,-0.246355  ,6.273852
0.020000,5.853682 ,11.249439,0.105813 ,0.712860,2.296890    ,0.000600   ,6.272366
0.020000,5.868857 ,11.249263,0.120989 ,0.758794,2.296715    ,-0.008722  ,6.270785
0.020000,5.884950 ,11.249050,0.137083 ,0.804720,2.296286    ,-0.021451  ,6.269110
0.020000,5.901960 ,11.248795,0.154096 ,0.850632,2.295605    ,-0.034039  ,6.267340
0.020000,5.919888 ,11.248494,0.172027 ,0.896525,2.294676    ,-0.046475  ,6.265475
0.020000,5.938733 ,11.248142,0.190874 ,0.942395,2.293501    ,-0.058747  ,6.263517
0.020000,5.958495 ,11.247733,0.210640 ,0.988290,2.294713    ,0.060600   ,6.261464
0.020000,5.979172 ,11.247262,0.231323 ,1.034156,2.293332    ,-0.069064  ,6.259318
0.020000,6.000765 ,11.246722,0.252922 ,1.079946,2.289499    ,-0.191654  ,6.257078
0.020000,6.023272 ,11.246108,0.275438 ,1.125781,2.291732    ,0.111653   ,6.254746
0.020000,6.046693 ,11.245413,0.298869 ,1.171561,2.289027    ,-0.135217  ,6.252321
0.020000,6.071027 ,11.244631,0.323216 ,1.217323,2.288092    ,-0.046752  ,6.249804
0.020000,6.096272 ,11.243755,0.348476 ,1.263040,2.285837    ,-0.112770  ,6.247195
0.020000,6.122430 ,11.242778,0.374652 ,1.308788,2.287419    ,0.079126   ,6.244495
0.020000,6.149497 ,11.241692,0.401741 ,1.354432,2.282159    ,-0.263000  ,6.241704
0.020000,6.177472 ,11.240491,0.429742 ,1.400059,2.281377    ,-0.039146  ,6.238822
0.020000,6.206355 ,11.239166,0.458656 ,1.445694,2.281771    ,0.019717   ,6.235851
0.020000,6.236145 ,11.237709,0.488481 ,1.491270,2.278755    ,-0.150814  ,6.232791
0.020000,6.266840 ,11.236112,0.519217 ,1.536791,2.276049    ,-0.135303  ,6.229642
0.020000,6.298437 ,11.234368,0.550862 ,1.582270,2.273998    ,-0.102541  ,6.226406
0.020000,6.330935 ,11.232466,0.583417 ,1.627703,2.271636    ,-0.118109  ,6.223083
0.020000,6.364333 ,11.230399,0.616878 ,1.673090,2.269355    ,-0.114010  ,6.219673
0.020000,6.398629 ,11.228158,0.651248 ,1.718461,2.268545    ,-0.040491  ,6.216178
0.020000,6.433820 ,11.225733,0.686522 ,1.763731,2.263499    ,-0.252348  ,6.212598
0.020000,6.469904 ,11.223115,0.722701 ,1.808930,2.259924    ,-0.178719  ,6.208935
0.020000,6.506879 ,11.220295,0.759783 ,1.854108,2.258931    ,-0.049665  ,6.205190
0.020000,6.544742 ,11.217263,0.797767 ,1.899207,2.254944    ,-0.199320  ,6.201362
0.020000,6.583490 ,11.214009,0.836651 ,1.944214,2.250365    ,-0.228978  ,6.197455
0.020000,6.623121 ,11.210524,0.876435 ,1.989183,2.248406    ,-0.097953  ,6.193468
0.020000,6.663631 ,11.206796,0.917116 ,2.034056,2.243663    ,-0.237144  ,6.189403
0.020000,6.705016 ,11.202817,0.958693 ,2.078823,2.238364    ,-0.264948  ,6.185261
0.020000,6.747275 ,11.198576,1.001164 ,2.123559,2.236815    ,-0.077440  ,6.181045
0.020000,6.790403 ,11.194062,1.044527 ,2.168177,2.230861    ,-0.297715  ,6.176754
0.020000,6.834396 ,11.189265,1.088781 ,2.212692,2.225750    ,-0.255546  ,6.172391
0.020000,6.879250 ,11.184174,1.133923 ,2.257113,2.221080    ,-0.233484  ,6.167957
0.020000,6.924962 ,11.178779,1.179952 ,2.301434,2.216038    ,-0.252091  ,6.163454
0.020000,6.971526 ,11.173069,1.226865 ,2.345647,2.210640    ,-0.269933  ,6.158884
0.020000,7.018938 ,11.167033,1.274660 ,2.389745,2.204900    ,-0.287004  ,6.154248
0.020000,7.067194 ,11.160661,1.323334 ,2.433721,2.198834    ,-0.303300  ,6.149548
0.020000,7.116288 ,11.153942,1.372886 ,2.477587,2.193272    ,-0.278064  ,6.144786
0.020000,7.166215 ,11.146864,1.423313 ,2.521338,2.187572    ,-0.285039  ,6.139965
0.020000,7.216971 ,11.139419,1.474611 ,2.564921,2.179149    ,-0.421159  ,6.135086
0.020000,7.268548 ,11.131593,1.526779 ,2.608392,2.173557    ,-0.279560  ,6.130152
0.020000,7.320942 ,11.123378,1.579814 ,2.651719,2.166333    ,-0.361197  ,6.125164
0.020000,7.374147 ,11.114762,1.633711 ,2.694894,2.158732    ,-0.380059  ,6.120126
0.020000,7.428156 ,11.105735,1.688470 ,2.737913,2.150955    ,-0.388878  ,6.115039
0.020000,7.482964 ,11.096287,1.744086 ,2.780800,2.144371    ,-0.329185  ,6.109906
0.020000,7.538563 ,11.086407,1.800556 ,2.823498,2.134875    ,-0.474786  ,6.104730
0.020000,7.594946 ,11.076084,1.857876 ,2.866037,2.126940    ,-0.396753  ,6.099514
0.020000,7.652108 ,11.065310,1.916045 ,2.908409,2.118640    ,-0.415008  ,6.094259
0.020000,7.710041 ,11.054074,1.975057 ,2.950614,2.110239    ,-0.420025  ,6.088969
0.020000,7.768737 ,11.042366,2.034909 ,2.992630,2.100807    ,-0.471638  ,6.083647
0.020000,7.828190 ,11.030177,2.095599 ,3.034462,2.091568    ,-0.461950  ,6.078295
0.020000,7.888391 ,11.017498,2.157121 ,3.076112,2.082534    ,-0.451685  ,6.072918
0.020000,7.949334 ,11.004319,2.219472 ,3.117563,2.072547    ,-0.499364  ,6.067517
0.020000,8.011009 ,10.990631,2.282648 ,3.158815,2.062578    ,-0.498425  ,6.062095
0.020000,8.073411 ,10.976427,2.346646 ,3.199863,2.052413    ,-0.508279  ,6.056658
0.020000,8.136529 ,10.961698,2.411460 ,3.240718,2.042743    ,-0.483464  ,6.051206
0.020000,8.200357 ,10.946435,2.477087 ,3.281357,2.031962    ,-0.539068  ,6.045744
0.020000,8.264885 ,10.930632,2.543523 ,3.321782,2.021229    ,-0.536629  ,6.040276
0.020000,8.330107 ,10.914280,2.610763 ,3.361998,2.010814    ,-0.520773  ,6.034804
0.020000,8.396012 ,10.897372,2.678803 ,3.401990,1.999620    ,-0.559718  ,6.029332
0.020000,8.462594 ,10.879903,2.747638 ,3.441759,1.988439    ,-0.559025  ,6.023863
0.020000,8.529843 ,10.861865,2.817264 ,3.481313,1.977693    ,-0.537294  ,6.018402
0.020000,8.597751 ,10.843252,2.887677 ,3.520632,1.965931    ,-0.588115  ,6.012952
0.020000,8.666310 ,10.824060,2.958871 ,3.559722,1.954536    ,-0.569743  ,6.007516
0.020000,8.735511 ,10.804282,3.030843 ,3.598582,1.942994    ,-0.577100  ,6.002099
0.020000,8.805345 ,10.783914,3.103587 ,3.637209,1.931325    ,-0.583463  ,5.996704
0.020000,8.875805 ,10.762951,3.177099 ,3.675600,1.919553    ,-0.588603  ,5.991334
0.020000,8.946882 ,10.741390,3.251374 ,3.713754,1.907700    ,-0.592618  ,5.985994
0.020000,9.018567 ,10.719226,3.326407 ,3.751670,1.895788    ,-0.595607  ,5.980687
0.020000,9.090853 ,10.696458,3.402194 ,3.789346,1.883835    ,-0.597671  ,5.975417
0.020000,9.163731 ,10.673082,3.478730 ,3.826782,1.871776    ,-0.602954  ,5.970189
0.020000,9.237194 ,10.649095,3.556010 ,3.863975,1.859646    ,-0.606478  ,5.965005
0.020000,9.311233 ,10.624497,3.634028 ,3.900929,1.847725    ,-0.596065  ,5.959870
0.020000,9.385842 ,10.599286,3.712781 ,3.937637,1.835364    ,-0.618053  ,5.954788
0.020000,9.461012 ,10.573462,3.792263 ,3.974106,1.823448    ,-0.595774  ,5.949762
0.020000,9.536735 ,10.547023,3.872470 ,4.010326,1.811039    ,-0.620470  ,5.944797
0.020000,9.613006 ,10.519970,3.953396 ,4.046311,1.799227    ,-0.590615  ,5.939896
0.020000,9.689816 ,10.492305,4.035037 ,4.082044,1.786638    ,-0.629411  ,5.935063
0.020000,9.767160 ,10.464027,4.117387 ,4.117538,1.774718    ,-0.596032  ,5.930302
0.020000,9.845030 ,10.435140,4.200443 ,4.152791,1.762632    ,-0.604278  ,5.925618
0.020000,9.923421 ,10.405644,4.284199 ,4.187800,1.750452    ,-0.609036  ,5.921013
0.020000,10.002325,10.375543,4.368650 ,4.222566,1.738295    ,-0.607804  ,5.916492
0.020000,10.081739,10.344840,4.453792 ,4.257089,1.726172    ,-0.606175  ,5.912058
0.020000,10.161655,10.313539,4.539620 ,4.291371,1.714086    ,-0.604285  ,5.907716
0.020000,10.242069,10.281644,4.626128 ,4.325412,1.702041    ,-0.602261  ,5.903470
0.020000,10.322975,10.249160,4.713312 ,4.359212,1.690037    ,-0.600225  ,5.899322
0.020000,10.404370,10.216092,4.801168 ,4.392774,1.678071    ,-0.598297  ,5.895278
0.020000,10.486248,10.182446,4.889690 ,4.426096,1.666139    ,-0.596589  ,5.891340
0.020000,10.568606,10.148229,4.978873 ,4.459168,1.653565    ,-0.628673  ,5.887513
0.020000,10.651441,10.113447,5.068713 ,4.492011,1.642184    ,-0.569075  ,5.883801
0.020000,10.734747,10.078108,5.159205 ,4.524612,1.630022    ,-0.608083  ,5.880207
0.020000,10.818524,10.042221,5.250345 ,4.556968,1.617801    ,-0.611072  ,5.876736
0.020000,10.902767,10.005793,5.342127 ,4.589089,1.606040    ,-0.588018  ,5.873390
0.020000,10.987474,9.968834 ,5.434546 ,4.620967,1.593918    ,-0.606125  ,5.870175
0.020000,11.072644,9.931353 ,5.527598 ,4.652599,1.581580    ,-0.616876  ,5.867093
0.020000,11.158274,9.893361 ,5.621278 ,4.683995,1.569831    ,-0.587456  ,5.864149
0.020000,11.244364,9.854870 ,5.715581 ,4.715146,1.557553    ,-0.613921  ,5.861347
0.020000,11.330912,9.815889 ,5.810502 ,4.746050,1.545164    ,-0.619450  ,5.858690
0.020000,11.417917,9.776432 ,5.906036 ,4.776706,1.532803    ,-0.618059  ,5.856183
0.020000,11.505379,9.736511 ,6.002178 ,4.807116,1.520532    ,-0.613552  ,5.853829
0.020000,11.593299,9.696139 ,6.098924 ,4.837276,1.507993    ,-0.626937  ,5.851633
0.020000,11.681675,9.655331 ,6.196267 ,4.867183,1.495348    ,-0.632259  ,5.849598
0.020000,11.770510,9.614101 ,6.294204 ,4.896832,1.482446    ,-0.645088  ,5.847728
0.020000,11.859804,9.572463 ,6.392728 ,4.926224,1.469573    ,-0.643648  ,5.846029
0.020000,11.949559,9.530435 ,6.491835 ,4.955355,1.456554    ,-0.650944  ,5.844503
0.020000,12.039722,9.488057 ,6.591462 ,4.981318,1.298151    ,-7.920155  ,5.843156
0.020000,12.130193,9.445396 ,6.691487 ,5.001237,0.995956    ,-15.109759 ,5.841994
0.020000,12.220870,9.402519 ,6.791790 ,5.015170,0.696675    ,-14.964054 ,5.841019
0.020000,12.311654,9.359494 ,6.892253 ,5.023169,0.399923    ,-14.837602 ,5.840237
0.020000,12.402447,9.316388 ,6.992759 ,5.025281,0.105640    ,-14.714144 ,5.839650
0.020000,12.493151,9.273271 ,7.093190 ,5.021567,-0.185725   ,-14.568257 ,5.839259
0.020000,12.583672,9.230208 ,7.193432 ,5.012073,-0.474704   ,-14.448927 ,5.839066
0.020000,12.673965,9.187243 ,7.293426 ,4.999709,-0.618194   ,-7.174530  ,5.839071
0.020000,12.764039,9.144393 ,7.393173 ,4.987345,-0.618205   ,-0.000549  ,5.839273
0.020000,12.853903,9.101677 ,7.492672 ,4.974976,-0.618428   ,-0.011152  ,5.839674
0.020000,12.943564,9.059112 ,7.591924 ,4.962601,-0.618752   ,-0.016187  ,5.840272
0.020000,13.033032,9.016716 ,7.690929 ,4.950214,-0.619358   ,-0.030282  ,5.841069
0.020000,13.122313,8.974505 ,7.789685 ,4.937813,-0.620062   ,-0.035189  ,5.842064
0.020000,13.211415,8.932499 ,7.888193 ,4.925394,-0.620966   ,-0.045197  ,5.843257
0.020000,13.300346,8.890713 ,7.986452 ,4.912952,-0.622100   ,-0.056708  ,5.844650
0.020000,13.389114,8.849166 ,8.084462 ,4.900487,-0.623221   ,-0.056052  ,5.846242
0.020000,13.477726,8.807875 ,8.182221 ,4.887991,-0.624813   ,-0.079622  ,5.848034
0.020000,13.566188,8.766856 ,8.279731 ,4.875469,-0.626078   ,-0.063220  ,5.850027
0.020000,13.654508,8.726129 ,8.376989 ,4.862907,-0.628129   ,-0.102576  ,5.852220
0.020000,13.742692,8.685708 ,8.473995 ,4.850317,-0.629474   ,-0.067227  ,5.854615
0.020000,13.830747,8.645613 ,8.570749 ,4.837678,-0.631955   ,-0.124045  ,5.857212
0.020000,13.918679,8.605860 ,8.667249 ,4.825012,-0.633328   ,-0.068670  ,5.860012
0.020000,14.006493,8.566467 ,8.763495 ,4.812288,-0.636169   ,-0.142057  ,5.863015
0.020000,14.094197,8.527450 ,8.859486 ,4.799537,-0.637553   ,-0.069180  ,5.866223
0.020000,14.181794,8.488826 ,8.955220 ,4.786725,-0.640615   ,-0.153100  ,5.869635
0.020000,14.269292,8.450614 ,9.050698 ,4.773884,-0.642056   ,-0.072061  ,5.873253
0.020000,14.356694,8.412830 ,9.145917 ,4.760981,-0.645164   ,-0.155383  ,5.877077
0.020000,14.444006,8.375491 ,9.240878 ,4.748049,-0.646597   ,-0.071655  ,5.881109
0.020000,14.531232,8.338615 ,9.335579 ,4.735055,-0.649687   ,-0.154496  ,5.885348
0.020000,14.618378,8.302218 ,9.430020 ,4.722035,-0.650987   ,-0.065011  ,5.889795
0.020000,14.705446,8.266318 ,9.524199 ,4.708956,-0.653975   ,-0.149389  ,5.894452
0.020000,14.792442,8.230932 ,9.618116 ,4.695855,-0.655041   ,-0.053317  ,5.899318
0.020000,14.879368,8.196077 ,9.711770 ,4.682700,-0.657747   ,-0.135311  ,5.904395
0.020000,14.966229,8.161769 ,9.805161 ,4.669528,-0.658604   ,-0.042858  ,5.909682
0.020000,15.053027,8.128026 ,9.898287 ,4.656313,-0.660743   ,-0.106939  ,5.915181
0.020000,15.139766,8.094865 ,9.991149 ,4.643086,-0.661342   ,-0.029932  ,5.920891
0.020000,15.226448,8.062301 ,10.083746,4.629832,-0.662722   ,-0.069029  ,5.926814
0.020000,15.313076,8.030353 ,10.176077,4.616573,-0.662946   ,-0.011174  ,5.932949
0.020000,15.399652,7.999036 ,10.268143,4.603305,-0.663393   ,-0.022368  ,5.939296
0.020000,15.486178,7.968368 ,10.359944,4.590043,-0.663079   ,0.015726   ,5.945855
0.020000,15.572657,7.938363 ,10.451480,4.576794,-0.662445   ,0.031698   ,5.952626
0.020000,15.659089,7.909039 ,10.542751,4.563567,-0.661376   ,0.053436   ,5.959609
0.020000,15.745477,7.880411 ,10.633759,4.550376,-0.659550   ,0.091307   ,5.966803
0.020000,15.831821,7.852495 ,10.724503,4.537227,-0.657453   ,0.104828   ,5.974207
0.020000,15.918122,7.825307 ,10.814986,4.524139,-0.654370   ,0.154163   ,5.981820
0.020000,16.004382,7.798863 ,10.905208,4.511121,-0.650915   ,0.172737   ,5.989642
0.020000,16.090601,7.773176 ,10.995172,4.498190,-0.646560   ,0.217767   ,5.997671
0.020000,16.176779,7.748263 ,11.084879,4.485361,-0.641443   ,0.255858   ,6.005905
0.020000,16.262918,7.724138 ,11.174332,4.472649,-0.635626   ,0.290834   ,6.014342
0.020000,16.349016,7.700815 ,11.263534,4.460073,-0.628771   ,0.342772   ,6.022981
0.020000,16.435074,7.678307 ,11.352487,4.447650,-0.621158   ,0.380633   ,6.031818
