dt      ,x        ,y       ,position ,velocity,acceleration,jerk        ,heading
0.020000,5.752072 ,8.750002,0.000057 ,0.005714,0.285714    ,14.285714   ,0.001658
0.020000,5.752038 ,8.750002,0.000092 ,0.001719,-0.199770   ,-24.274211  ,0.001630
0.020000,5.751960 ,8.750002,0.000169 ,0.003867,0.107425    ,15.359764   ,0.001568
0.020000,5.751823 ,8.750001,0.000306 ,0.006875,0.150381    ,2.147794    ,0.001458
0.020000,5.751608 ,8.750001,0.000521 ,0.010741,0.193315    ,2.146699    ,0.001286
0.020000,5.751299 ,8.750001,0.000831 ,0.015466,0.236213    ,2.144902    ,0.001039
0.020000,5.750878 ,8.750000,0.001251 ,0.021047,0.279058    ,2.142222    ,0.000702
0.020000,5.750337 ,8.750000,0.001793 ,0.027054,0.300359    ,1.065046    ,0.000269
0.020000,5.751835 ,8.750000,0.003291 ,0.074913,2.392947    ,104.629401  ,6.282926
0.020000,5.756254 ,8.749997,0.007710 ,0.220957,7.302220    ,245.463693  ,6.282301
0.020000,5.761352 ,8.749991,0.012808 ,0.254908,1.697537    ,-280.234195 ,6.281580
0.020000,5.767132 ,8.749979,0.018588 ,0.288975,1.703355    ,0.290920    ,6.280763
0.020000,5.773590 ,8.749961,0.025046 ,0.322917,1.697086    ,-0.313449   ,6.279850
0.020000,5.780730 ,8.749933,0.032186 ,0.357000,1.704138    ,0.352593    ,6.278842
0.020000,5.788550 ,8.749895,0.040006 ,0.390981,1.699056    ,-0.254078   ,6.277737
0.020000,5.797049 ,8.749844,0.048505 ,0.424984,1.700177    ,0.056030    ,6.276538
0.020000,5.806230 ,8.749777,0.057687 ,0.459071,1.704328    ,0.207541    ,6.275242
0.020000,5.816092 ,8.749691,0.067549 ,0.493099,1.701425    ,-0.145122   ,6.273852
0.020000,5.826634 ,8.749585,0.078091 ,0.527144,1.702254    ,0.041440    ,6.272366
0.020000,5.837858 ,8.749455,0.089316 ,0.561205,1.703031    ,0.038854    ,6.270785
0.020000,5.849762 ,8.749297,0.101221 ,0.595279,1.703712    ,0.034038    ,6.269110
0.020000,5.862348 ,8.749109,0.113808 ,0.629365,1.704305    ,0.029630    ,6.267340
0.020000,5.875615 ,8.748886,0.127078 ,0.663462,1.704818    ,0.025655    ,6.265475
0.020000,5.889564 ,8.748626,0.141029 ,0.697567,1.705260    ,0.022139    ,6.263517
0.020000,5.904196 ,8.748323,0.155663 ,0.731719,1.707589    ,0.116436    ,6.261464
0.020000,5.919509 ,8.747974,0.170981 ,0.765881,1.708125    ,0.026796    ,6.259318
0.020000,5.935505 ,8.747574,0.186981 ,0.800021,1.706978    ,-0.057331   ,6.257078
0.020000,5.952183 ,8.747119,0.203666 ,0.834230,1.710468    ,0.174462    ,6.254746
0.020000,5.969544 ,8.746604,0.221035 ,0.868439,1.710451    ,-0.000855   ,6.252321
0.020000,5.987588 ,8.746024,0.239088 ,0.902677,1.711904    ,0.072678    ,6.249804
0.020000,6.006316 ,8.745374,0.257827 ,0.936928,1.712547    ,0.032168    ,6.247195
0.020000,6.025727 ,8.744649,0.277252 ,0.971252,1.716217    ,0.183472    ,6.244495
0.020000,6.045822 ,8.743843,0.297363 ,1.005552,1.714997    ,-0.060985   ,6.241704
0.020000,6.066601 ,8.742951,0.318161 ,1.039898,1.717297    ,0.114978    ,6.238822
0.020000,6.088065 ,8.741966,0.339647 ,1.074312,1.720681    ,0.169190    ,6.235851
0.020000,6.110213 ,8.740883,0.361822 ,1.108747,1.721750    ,0.053452    ,6.232791
0.020000,6.133046 ,8.739695,0.384686 ,1.143212,1.723277    ,0.076352    ,6.229642
0.020000,6.156565 ,8.738396,0.408241 ,1.177723,1.725530    ,0.112657    ,6.226406
